Ratio,GaussianRatioBeta,AR1RatioBeta,GaussianRatioTrace,AR1RatioTrace,Gaussian_P05,Gaussian_P20,Gaussian_P35,Gaussian_P50,Gaussian_P65,Gaussian_P80,Gaussian_P95,Gaussian_Prob_Lt_1.00,Gaussian_Prob_Lt_3.16,Gaussian_Prob_Lt_10.00,Gaussian_Prob_Lt_31.62,Gaussian_Prob_Lt_100.00,AR1_P05,AR1_P20,AR1_P35,AR1_P50,AR1_P65,AR1_P80,AR1_P95,AR1_Prob_Lt_1.00,AR1_Prob_Lt_3.16,AR1_Prob_Lt_10.00,AR1_Prob_Lt_31.62,AR1_Prob_Lt_100.00
0.708191,0.233276,0.001940,0.005207,0.000272,3.813650,5.102021,6.203466,7.314046,8.604104,10.643669,15.231043,0.000000,0.011000,0.764000,0.996000,1.000000,10.786600,14.796227,18.067921,21.931411,26.833181,34.154889,54.818849,0.000000,0.000000,0.035000,0.744000,0.995000
0.711463,0.234353,0.001949,0.005231,0.000274,3.813650,5.102021,6.203466,7.314046,8.604104,10.643669,15.231043,0.000000,0.011000,0.764000,0.996000,1.000000,10.786600,14.796227,18.067921,21.931411,26.833181,34.154889,54.818849,0.000000,0.000000,0.035000,0.744000,0.995000
0.714750,0.235436,0.001958,0.005255,0.000275,3.847899,5.166699,6.363892,7.456911,8.929697,10.827695,15.542502,0.000000,0.009000,0.746000,0.996000,1.000000,10.947122,15.501827,18.665570,22.779840,27.941142,35.862539,56.914338,0.000000,0.000000,0.031000,0.723000,0.994000
0.718052,0.236524,0.001967,0.005280,0.000276,3.847899,5.166699,6.363892,7.456911,8.929697,10.827695,15.542502,0.000000,0.009000,0.746000,0.996000,1.000000,10.947122,15.501827,18.665570,22.779840,27.941142,35.862539,56.914338,0.000000,0.000000,0.031000,0.723000,0.994000
0.721370,0.237617,0.001977,0.005304,0.000277,3.965732,5.336108,6.484939,7.595948,9.033210,11.130263,15.955854,0.000000,0.007000,0.736000,0.996000,1.000000,11.418930,15.846247,19.640192,23.792812,28.845334,37.012657,58.686322,0.000000,0.000000,0.020000,0.711000,0.994000
0.724703,0.238715,0.001986,0.005328,0.000279,3.965732,5.336108,6.484939,7.595948,9.033210,11.130263,15.955854,0.000000,0.007000,0.736000,0.996000,1.000000,11.418930,15.846247,19.640192,23.792812,28.845334,37.012657,58.686322,0.000000,0.000000,0.020000,0.711000,0.994000
0.728052,0.239818,0.001995,0.005353,0.000280,4.064810,5.476447,6.606853,7.817084,9.251456,11.432081,16.445275,0.000000,0.007000,0.719000,0.996000,1.000000,11.836605,16.877137,20.270406,24.441211,29.704884,38.270732,63.458895,0.000000,0.000000,0.017000,0.687000,0.994000
0.731416,0.240926,0.002004,0.005378,0.000281,4.064810,5.476447,6.606853,7.817084,9.251456,11.432081,16.445275,0.000000,0.007000,0.719000,0.996000,1.000000,11.836605,16.877137,20.270406,24.441211,29.704884,38.270732,63.458895,0.000000,0.000000,0.017000,0.687000,0.994000
0.734795,0.242039,0.002013,0.005403,0.000283,4.064810,5.476447,6.606853,7.817084,9.251456,11.432081,16.445275,0.000000,0.007000,0.719000,0.996000,1.000000,11.836605,16.877137,20.270406,24.441211,29.704884,38.270732,63.458895,0.000000,0.000000,0.017000,0.687000,0.994000
0.738190,0.243157,0.002023,0.005428,0.000284,4.194649,5.585816,6.780576,8.004655,9.518151,11.697532,16.823130,0.000000,0.006000,0.692000,0.995000,1.000000,12.240326,17.485502,21.147387,25.346709,31.085668,39.003716,65.829774,0.000000,0.000000,0.012000,0.664000,0.991000
